x,y,label
2016-11-02 17:50:59.618702,5242880,f4bb.usage
2016-11-02 17:50:59.618702,0,f4bb.stats.unevictable
2016-11-02 17:50:59.618702,2109440,f4bb.stats.total_inactive_file
2016-11-02 17:50:59.618702,0,f4bb.stats.total_rss_huge
2016-11-02 17:50:59.618702,3065118720,f4bb.stats.hierarchical_memsw_limit
2016-11-02 17:50:59.618702,4145152,f4bb.stats.total_cache
2016-11-02 17:50:59.618702,2699264,f4bb.stats.total_mapped_file
2016-11-02 17:50:59.618702,2699264,f4bb.stats.mapped_file
2016-11-02 17:50:59.618702,618,f4bb.stats.pgfault
2016-11-02 17:50:59.618702,0,f4bb.stats.total_writeback
2016-11-02 17:50:59.618702,1532559360,f4bb.stats.hierarchical_memory_limit
2016-11-02 17:50:59.618702,2035712,f4bb.stats.total_active_file
2016-11-02 17:50:59.618702,0,f4bb.stats.rss_huge
2016-11-02 17:50:59.618702,4145152,f4bb.stats.cache
2016-11-02 17:50:59.618702,360448,f4bb.stats.active_anon
2016-11-02 17:50:59.618702,34,f4bb.stats.pgmajfault
2016-11-02 17:50:59.618702,263,f4bb.stats.total_pgpgout
2016-11-02 17:50:59.618702,263,f4bb.stats.pgpgout
2016-11-02 17:50:59.618702,0,f4bb.stats.swap
2016-11-02 17:50:59.618702,2109440,f4bb.stats.inactive_file
2016-11-02 17:50:59.618702,0,f4bb.stats.total_unevictable
2016-11-02 17:50:59.618702,618,f4bb.stats.total_pgfault
2016-11-02 17:50:59.618702,34,f4bb.stats.total_pgmajfault
2016-11-02 17:50:59.618702,0,f4bb.stats.writeback
2016-11-02 17:50:59.618702,0,f4bb.stats.total_swap
2016-11-02 17:50:59.618702,360448,f4bb.stats.total_active_anon
2016-11-02 17:50:59.618702,1363,f4bb.stats.pgpgin
2016-11-02 17:50:59.618702,0,f4bb.stats.total_dirty
2016-11-02 17:50:59.618702,1363,f4bb.stats.total_pgpgin
2016-11-02 17:50:59.618702,360448,f4bb.stats.rss
2016-11-02 17:50:59.618702,0,f4bb.stats.total_inactive_anon
2016-11-02 17:50:59.618702,0,f4bb.stats.inactive_anon
2016-11-02 17:50:59.618702,2035712,f4bb.stats.active_file
2016-11-02 17:50:59.618702,0,f4bb.stats.dirty
2016-11-02 17:50:59.618702,360448,f4bb.stats.total_rss
2016-11-02 17:50:59.618702,0,f4bb.failcnt
2016-11-02 17:50:59.618702,1532559360,f4bb.limit
