x,y,label
2016-11-04 13:38:39,3258.90,3b9f.rdps
2016-11-04 13:38:39,0.00,3b9f.wrps
2016-11-04 13:38:39,0.00,3b9f.errps
2016-11-04 13:38:39,0,3b9f.recops
2016-11-04 13:38:39,8,3b9f.threads
2016-11-04 13:38:39,93.69,3b9f.rtps
2016-11-04 13:38:39,230.92,3b9f.trps
2016-11-04 13:38:40,3364.01,3b9f.rdps
2016-11-04 13:38:40,0.00,3b9f.wrps
2016-11-04 13:38:40,0.00,3b9f.errps
2016-11-04 13:38:40,0,3b9f.recops
2016-11-04 13:38:40,8,3b9f.threads
2016-11-04 13:38:40,93.86,3b9f.rtps
2016-11-04 13:38:40,239.00,3b9f.trps
2016-11-04 13:38:41,3559.06,3b9f.rdps
2016-11-04 13:38:41,0.00,3b9f.wrps
2016-11-04 13:38:41,0.00,3b9f.errps
2016-11-04 13:38:41,0,3b9f.recops
2016-11-04 13:38:41,8,3b9f.threads
2016-11-04 13:38:41,92.71,3b9f.rtps
2016-11-04 13:38:41,254.00,3b9f.trps
2016-11-04 13:38:42,3367.99,3b9f.rdps
2016-11-04 13:38:42,0.00,3b9f.wrps
2016-11-04 13:38:42,0.00,3b9f.errps
2016-11-04 13:38:42,0,3b9f.recops
2016-11-04 13:38:42,8,3b9f.threads
2016-11-04 13:38:42,93.07,3b9f.rtps
2016-11-04 13:38:42,239.00,3b9f.trps
2016-11-04 13:38:43,3174.96,3b9f.rdps
2016-11-04 13:38:43,0.00,3b9f.wrps
2016-11-04 13:38:43,0.00,3b9f.errps
2016-11-04 13:38:43,0,3b9f.recops
2016-11-04 13:38:43,8,3b9f.threads
2016-11-04 13:38:43,93.74,3b9f.rtps
2016-11-04 13:38:43,228.00,3b9f.trps
2016-11-04 13:38:44,3642.14,3b9f.rdps
2016-11-04 13:38:44,0.00,3b9f.wrps
2016-11-04 13:38:44,0.00,3b9f.errps
2016-11-04 13:38:44,0,3b9f.recops
2016-11-04 13:38:44,8,3b9f.threads
2016-11-04 13:38:44,93.83,3b9f.rtps
