x,y,label
2016-11-04 13:38:39,3327.70,7edf.rdps
2016-11-04 13:38:39,0.00,7edf.wrps
2016-11-04 13:38:39,0.00,7edf.errps
2016-11-04 13:38:39,0,7edf.recops
2016-11-04 13:38:39,8,7edf.threads
2016-11-04 13:38:39,92.60,7edf.rtps
2016-11-04 13:38:39,231.98,7edf.trps
2016-11-04 13:38:40,3404.95,7edf.rdps
2016-11-04 13:38:40,0.00,7edf.wrps
2016-11-04 13:38:40,0.00,7edf.errps
2016-11-04 13:38:40,0,7edf.recops
2016-11-04 13:38:40,8,7edf.threads
2016-11-04 13:38:40,93.66,7edf.rtps
2016-11-04 13:38:40,245.00,7edf.trps
2016-11-04 13:38:41,3540.02,7edf.rdps
2016-11-04 13:38:41,0.00,7edf.wrps
2016-11-04 13:38:41,0.00,7edf.errps
2016-11-04 13:38:41,0,7edf.recops
2016-11-04 13:38:41,8,7edf.threads
2016-11-04 13:38:41,93.49,7edf.rtps
2016-11-04 13:38:41,252.00,7edf.trps
2016-11-04 13:38:42,3217.06,7edf.rdps
2016-11-04 13:38:42,0.00,7edf.wrps
2016-11-04 13:38:42,0.00,7edf.errps
2016-11-04 13:38:42,0,7edf.recops
2016-11-04 13:38:42,8,7edf.threads
2016-11-04 13:38:42,94.05,7edf.rtps
2016-11-04 13:38:42,232.00,7edf.trps
2016-11-04 13:38:43,3198.98,7edf.rdps
2016-11-04 13:38:43,0.00,7edf.wrps
2016-11-04 13:38:43,0.00,7edf.errps
2016-11-04 13:38:43,0,7edf.recops
2016-11-04 13:38:43,8,7edf.threads
2016-11-04 13:38:43,94.19,7edf.rtps
2016-11-04 13:38:43,228.00,7edf.trps
2016-11-04 13:38:44,3369.01,7edf.rdps
2016-11-04 13:38:44,0.00,7edf.wrps
2016-11-04 13:38:44,0.00,7edf.errps
2016-11-04 13:38:44,0,7edf.recops
2016-11-04 13:38:44,8,7edf.threads
2016-11-04 13:38:44,93.49,7edf.rtps
2016-11-04 13:38:44,240.00,7edf.trps
2016-11-04 13:38:45,2848.96,7edf.rdps
2016-11-04 13:38:45,0.00,7edf.wrps
2016-11-04 13:38:45,0.00,7edf.errps
2016-11-04 13:38:45,0,7edf.recops
2016-11-04 13:38:45,8,7edf.threads
2016-11-04 13:38:45,96.48,7edf.rtps
2016-11-04 13:38:45,204.00,7edf.trps
2016-11-04 13:38:46,3856.86,7edf.rdps
2016-11-04 13:38:46,0.00,7edf.wrps
2016-11-04 13:38:46,0.00,7edf.errps
2016-11-04 13:38:46,0,7edf.recops
2016-11-04 13:38:46,8,7edf.threads
2016-11-04 13:38:46,93.55,7edf.rtps
2016-11-04 13:38:46,274.99,7edf.trps
2016-11-04 13:38:47,3700.13,7edf.rdps
2016-11-04 13:38:47,0.00,7edf.wrps
2016-11-04 13:38:47,0.00,7edf.errps
2016-11-04 13:38:47,0,7edf.recops
2016-11-04 13:38:47,8,7edf.threads
2016-11-04 13:38:47,92.77,7edf.rtps
2016-11-04 13:38:47,263.01,7edf.trps
2016-11-04 13:38:48,3712.98,7edf.rdps
2016-11-04 13:38:48,0.00,7edf.wrps
2016-11-04 13:38:48,0.00,7edf.errps
2016-11-04 13:38:48,0,7edf.recops
2016-11-04 13:38:48,8,7edf.threads
2016-11-04 13:38:48,92.79,7edf.rtps
2016-11-04 13:38:48,265.00,7edf.trps
2016-11-04 13:38:49,3846.13,7edf.rdps
2016-11-04 13:38:49,0.00,7edf.wrps
2016-11-04 13:38:49,0.00,7edf.errps
2016-11-04 13:38:49,0,7edf.recops
2016-11-04 13:38:49,8,7edf.threads
2016-11-04 13:38:49,91.91,7edf.rtps
2016-11-04 13:38:49,275.01,7edf.trps
2016-11-04 13:38:50,3832.87,7edf.rdps
2016-11-04 13:38:50,0.00,7edf.wrps
2016-11-04 13:38:50,0.00,7edf.errps
2016-11-04 13:38:50,0,7edf.recops
2016-11-04 13:38:50,8,7edf.threads
2016-11-04 13:38:50,92.21,7edf.rtps
2016-11-04 13:38:50,274.99,7edf.trps
2016-11-04 13:38:51,4122.02,7edf.rdps
2016-11-04 13:38:51,0.00,7edf.wrps
2016-11-04 13:38:51,0.00,7edf.errps
2016-11-04 13:38:51,0,7edf.recops
2016-11-04 13:38:51,8,7edf.threads
2016-11-04 13:38:51,91.47,7edf.rtps
2016-11-04 13:38:51,294.00,7edf.trps
2016-11-04 13:38:52,4027.11,7edf.rdps
2016-11-04 13:38:52,0.00,7edf.wrps
2016-11-04 13:38:52,0.00,7edf.errps
2016-11-04 13:38:52,0,7edf.recops
2016-11-04 13:38:52,8,7edf.threads
2016-11-04 13:38:52,91.66,7edf.rtps
2016-11-04 13:38:52,289.01,7edf.trps
2016-11-04 13:38:53,4658.01,7edf.rdps
2016-11-04 13:38:53,0.00,7edf.wrps
2016-11-04 13:38:53,0.00,7edf.errps
2016-11-04 13:38:53,0,7edf.recops
2016-11-04 13:38:53,8,7edf.threads
2016-11-04 13:38:53,90.30,7edf.rtps
2016-11-04 13:38:53,332.00,7edf.trps
2016-11-04 13:38:54,4432.85,7edf.rdps
2016-11-04 13:38:54,0.00,7edf.wrps
2016-11-04 13:38:54,0.00,7edf.errps
2016-11-04 13:38:54,0,7edf.recops
2016-11-04 13:38:54,8,7edf.threads
2016-11-04 13:38:54,90.30,7edf.rtps
2016-11-04 13:38:54,315.99,7edf.trps
2016-11-04 13:38:55,4955.16,7edf.rdps
2016-11-04 13:38:55,0.00,7edf.wrps
2016-11-04 13:38:55,0.00,7edf.errps
2016-11-04 13:38:55,0,7edf.recops
2016-11-04 13:38:55,8,7edf.threads
2016-11-04 13:38:55,89.41,7edf.rtps
2016-11-04 13:38:55,355.01,7edf.trps
2016-11-04 13:38:56,4705.93,7edf.rdps
2016-11-04 13:38:56,0.00,7edf.wrps
2016-11-04 13:38:56,0.00,7edf.errps
2016-11-04 13:38:56,0,7edf.recops
2016-11-04 13:38:56,8,7edf.threads
2016-11-04 13:38:56,89.15,7edf.rtps
2016-11-04 13:38:56,333.99,7edf.trps
2016-11-04 13:38:57,5495.07,7edf.rdps
2016-11-04 13:38:57,0.00,7edf.wrps
2016-11-04 13:38:57,0.00,7edf.errps
2016-11-04 13:38:57,0,7edf.recops
2016-11-04 13:38:57,8,7edf.threads
2016-11-04 13:38:57,86.88,7edf.rtps
2016-11-04 13:38:57,393.01,7edf.trps
2016-11-04 13:38:58,5762.02,7edf.rdps
2016-11-04 13:38:58,0.00,7edf.wrps
2016-11-04 13:38:58,0.00,7edf.errps
2016-11-04 13:38:58,0,7edf.recops
