x,y,label
2016-11-04 13:38:28.532418,35192832,8973.usage
2016-11-04 13:38:28.532418,0,8973.stats.unevictable
2016-11-04 13:38:28.532418,7725056,8973.stats.total_inactive_file
2016-11-04 13:38:28.532418,6291456,8973.stats.total_rss_huge
2016-11-04 13:38:28.532418,2147483648,8973.stats.hierarchical_memsw_limit
2016-11-04 13:38:28.532418,23846912,8973.stats.total_cache
2016-11-04 13:38:28.532418,9269248,8973.stats.total_mapped_file
2016-11-04 13:38:28.532418,9269248,8973.stats.mapped_file
2016-11-04 13:38:28.532418,9299,8973.stats.pgfault
2016-11-04 13:38:28.532418,0,8973.stats.total_writeback
2016-11-04 13:38:28.532418,1073741824,8973.stats.hierarchical_memory_limit
2016-11-04 13:38:28.532418,16121856,8973.stats.total_active_file
2016-11-04 13:38:28.532418,6291456,8973.stats.rss_huge
2016-11-04 13:38:28.532418,23846912,8973.stats.cache
2016-11-04 13:38:28.532418,9392128,8973.stats.active_anon
2016-11-04 13:38:28.532418,185,8973.stats.pgmajfault
2016-11-04 13:38:28.532418,5848,8973.stats.total_pgpgout
2016-11-04 13:38:28.532418,5848,8973.stats.pgpgout
2016-11-04 13:38:28.532418,0,8973.stats.swap
2016-11-04 13:38:28.532418,7725056,8973.stats.inactive_file
2016-11-04 13:38:28.532418,0,8973.stats.total_unevictable
2016-11-04 13:38:28.532418,9299,8973.stats.total_pgfault
2016-11-04 13:38:28.532418,185,8973.stats.total_pgmajfault
2016-11-04 13:38:28.532418,0,8973.stats.writeback
2016-11-04 13:38:28.532418,0,8973.stats.total_swap
2016-11-04 13:38:28.532418,9392128,8973.stats.total_active_anon
2016-11-04 13:38:28.532418,12432,8973.stats.pgpgin
2016-11-04 13:38:28.532418,0,8973.stats.total_dirty
2016-11-04 13:38:28.532418,12432,8973.stats.total_pgpgin
2016-11-04 13:38:28.532418,9400320,8973.stats.rss
2016-11-04 13:38:28.532418,0,8973.stats.total_inactive_anon
2016-11-04 13:38:28.532418,0,8973.stats.inactive_anon
2016-11-04 13:38:28.532418,16121856,8973.stats.active_file
2016-11-04 13:38:28.532418,0,8973.stats.dirty
2016-11-04 13:38:28.532418,9400320,8973.stats.total_rss
2016-11-04 13:38:28.532418,0,8973.failcnt
2016-11-04 13:38:28.532418,1073741824,8973.limit
2016-11-04 13:38:28.532418,38260736,8973.max_usage
2016-11-04 13:38:29.532716,251772928,8973.usage
2016-11-04 13:38:29.532716,0,8973.stats.unevictable
2016-11-04 13:38:29.532716,43102208,8973.stats.total_inactive_file
2016-11-04 13:38:29.532716,100663296,8973.stats.total_rss_huge
2016-11-04 13:38:29.532716,2147483648,8973.stats.hierarchical_memsw_limit
2016-11-04 13:38:29.532716,61095936,8973.stats.total_cache
2016-11-04 13:38:29.532716,16470016,8973.stats.total_mapped_file
2016-11-04 13:38:29.532716,16470016,8973.stats.mapped_file
2016-11-04 13:38:29.532716,30141,8973.stats.pgfault
2016-11-04 13:38:29.532716,0,8973.stats.total_writeback
2016-11-04 13:38:29.532716,1073741824,8973.stats.hierarchical_memory_limit
2016-11-04 13:38:29.532716,17973248,8973.stats.total_active_file
2016-11-04 13:38:29.532716,100663296,8973.stats.rss_huge
2016-11-04 13:38:29.532716,61095936,8973.stats.cache
2016-11-04 13:38:29.532716,188002304,8973.stats.active_anon
2016-11-04 13:38:29.532716,217,8973.stats.pgmajfault
2016-11-04 13:38:29.532716,5889,8973.stats.total_pgpgout
2016-11-04 13:38:29.532716,5889,8973.stats.pgpgout
2016-11-04 13:38:29.532716,0,8973.stats.swap
2016-11-04 13:38:29.532716,43102208,8973.stats.inactive_file
2016-11-04 13:38:29.532716,0,8973.stats.total_unevictable
2016-11-04 13:38:29.532716,30141,8973.stats.total_pgfault
2016-11-04 13:38:29.532716,217,8973.stats.total_pgmajfault
2016-11-04 13:38:29.532716,0,8973.stats.writeback
2016-11-04 13:38:29.532716,0,8973.stats.total_swap
2016-11-04 13:38:29.532716,188002304,8973.stats.total_active_anon
2016-11-04 13:38:29.532716,42176,8973.stats.pgpgin
2016-11-04 13:38:29.532716,0,8973.stats.total_dirty
2016-11-04 13:38:29.532716,42176,8973.stats.total_pgpgin
2016-11-04 13:38:29.532716,188002304,8973.stats.rss
2016-11-04 13:38:29.532716,0,8973.stats.total_inactive_anon
2016-11-04 13:38:29.532716,0,8973.stats.inactive_anon
2016-11-04 13:38:29.532716,17973248,8973.stats.active_file
2016-11-04 13:38:29.532716,0,8973.stats.dirty
2016-11-04 13:38:29.532716,188002304,8973.stats.total_rss
2016-11-04 13:38:29.532716,0,8973.failcnt
2016-11-04 13:38:29.532716,1073741824,8973.limit
2016-11-04 13:38:29.532716,251772928,8973.max_usage
2016-11-04 13:38:30.532692,292847616,8973.usage
2016-11-04 13:38:30.532692,0,8973.stats.unevictable
2016-11-04 13:38:30.532692,62775296,8973.stats.total_inactive_file
