x,y,label
2016-11-04 13:38:18.524446,226353152,d91b.usage
2016-11-04 13:38:18.524446,0,d91b.stats.unevictable
2016-11-04 13:38:18.524446,29753344,d91b.stats.total_inactive_file
2016-11-04 13:38:18.524446,92274688,d91b.stats.total_rss_huge
2016-11-04 13:38:18.524446,2147483648,d91b.stats.hierarchical_memsw_limit
2016-11-04 13:38:18.524446,46510080,d91b.stats.total_cache
2016-11-04 13:38:18.524446,16388096,d91b.stats.total_mapped_file
2016-11-04 13:38:18.524446,16388096,d91b.stats.mapped_file
2016-11-04 13:38:18.524446,30596,d91b.stats.pgfault
2016-11-04 13:38:18.524446,0,d91b.stats.total_writeback
2016-11-04 13:38:18.524446,1073741824,d91b.stats.hierarchical_memory_limit
2016-11-04 13:38:18.524446,16723968,d91b.stats.total_active_file
2016-11-04 13:38:18.524446,92274688,d91b.stats.rss_huge
2016-11-04 13:38:18.524446,46510080,d91b.stats.cache
2016-11-04 13:38:18.524446,177344512,d91b.stats.active_anon
2016-11-04 13:38:18.524446,215,d91b.stats.pgmajfault
2016-11-04 13:38:18.524446,6904,d91b.stats.total_pgpgout
2016-11-04 13:38:18.524446,6904,d91b.stats.pgpgout
2016-11-04 13:38:18.524446,0,d91b.stats.swap
2016-11-04 13:38:18.524446,29753344,d91b.stats.inactive_file
2016-11-04 13:38:18.524446,0,d91b.stats.total_unevictable
2016-11-04 13:38:18.524446,30596,d91b.stats.total_pgfault
2016-11-04 13:38:18.524446,215,d91b.stats.total_pgmajfault
2016-11-04 13:38:18.524446,0,d91b.stats.writeback
2016-11-04 13:38:18.524446,0,d91b.stats.total_swap
2016-11-04 13:38:18.524446,177344512,d91b.stats.total_active_anon
2016-11-04 13:38:18.524446,39075,d91b.stats.pgpgin
2016-11-04 13:38:18.524446,118784,d91b.stats.total_dirty
2016-11-04 13:38:18.524446,39075,d91b.stats.total_pgpgin
2016-11-04 13:38:18.524446,177356800,d91b.stats.rss
2016-11-04 13:38:18.524446,0,d91b.stats.total_inactive_anon
2016-11-04 13:38:18.524446,0,d91b.stats.inactive_anon
2016-11-04 13:38:18.524446,16723968,d91b.stats.active_file
2016-11-04 13:38:18.524446,118784,d91b.stats.dirty
2016-11-04 13:38:18.524446,177356800,d91b.stats.total_rss
2016-11-04 13:38:18.524446,0,d91b.failcnt
2016-11-04 13:38:18.524446,1073741824,d91b.limit
2016-11-04 13:38:18.524446,226418688,d91b.max_usage
2016-11-04 13:38:19.524532,266993664,d91b.usage
2016-11-04 13:38:19.524532,0,d91b.stats.unevictable
2016-11-04 13:38:19.524532,49819648,d91b.stats.total_inactive_file
2016-11-04 13:38:19.524532,111149056,d91b.stats.total_rss_huge
2016-11-04 13:38:19.524532,2147483648,d91b.stats.hierarchical_memsw_limit
2016-11-04 13:38:19.524532,67825664,d91b.stats.total_cache
2016-11-04 13:38:19.524532,16506880,d91b.stats.total_mapped_file
2016-11-04 13:38:19.524532,16506880,d91b.stats.mapped_file
2016-11-04 13:38:19.524532,30701,d91b.stats.pgfault
2016-11-04 13:38:19.524532,0,d91b.stats.total_writeback
2016-11-04 13:38:19.524532,1073741824,d91b.stats.hierarchical_memory_limit
2016-11-04 13:38:19.524532,18006016,d91b.stats.total_active_file
2016-11-04 13:38:19.524532,111149056,d91b.stats.rss_huge
2016-11-04 13:38:19.524532,67825664,d91b.stats.cache
2016-11-04 13:38:19.524532,196603904,d91b.stats.active_anon
2016-11-04 13:38:19.524532,217,d91b.stats.pgmajfault
2016-11-04 13:38:19.524532,6904,d91b.stats.total_pgpgout
2016-11-04 13:38:19.524532,6904,d91b.stats.pgpgout
2016-11-04 13:38:19.524532,0,d91b.stats.swap
2016-11-04 13:38:19.524532,49819648,d91b.stats.inactive_file
2016-11-04 13:38:19.524532,0,d91b.stats.total_unevictable
2016-11-04 13:38:19.524532,30701,d91b.stats.total_pgfault
2016-11-04 13:38:19.524532,217,d91b.stats.total_pgmajfault
2016-11-04 13:38:19.524532,0,d91b.stats.writeback
2016-11-04 13:38:19.524532,0,d91b.stats.total_swap
2016-11-04 13:38:19.524532,196603904,d91b.stats.total_active_anon
2016-11-04 13:38:19.524532,44379,d91b.stats.pgpgin
2016-11-04 13:38:19.524532,0,d91b.stats.total_dirty
2016-11-04 13:38:19.524532,44379,d91b.stats.total_pgpgin
2016-11-04 13:38:19.524532,196603904,d91b.stats.rss
2016-11-04 13:38:19.524532,0,d91b.stats.total_inactive_anon
2016-11-04 13:38:19.524532,0,d91b.stats.inactive_anon
2016-11-04 13:38:19.524532,18006016,d91b.stats.active_file
2016-11-04 13:38:19.524532,0,d91b.stats.dirty
2016-11-04 13:38:19.524532,196603904,d91b.stats.total_rss
2016-11-04 13:38:19.524532,0,d91b.failcnt
2016-11-04 13:38:19.524532,1073741824,d91b.limit
2016-11-04 13:38:19.524532,266993664,d91b.max_usage
2016-11-04 13:38:20.524453,293449728,d91b.usage
2016-11-04 13:38:20.524453,0,d91b.stats.unevictable
