x,y,label
2016-11-02 18:06:44.520272,299487232,0910.usage
2016-11-02 18:06:44.520272,0,0910.stats.unevictable
2016-11-02 18:06:44.520272,293490688,0910.stats.total_inactive_file
2016-11-02 18:06:44.520272,0,0910.stats.total_rss_huge
2016-11-02 18:06:44.520272,6130237440,0910.stats.hierarchical_memsw_limit
2016-11-02 18:06:44.520272,296771584,0910.stats.total_cache
2016-11-02 18:06:44.520272,37384192,0910.stats.total_mapped_file
2016-11-02 18:06:44.520272,37384192,0910.stats.mapped_file
2016-11-02 18:06:44.520272,10174,0910.stats.pgfault
2016-11-02 18:06:44.520272,41512960,0910.stats.total_writeback
2016-11-02 18:06:44.520272,3065118720,0910.stats.hierarchical_memory_limit
2016-11-02 18:06:44.520272,3260416,0910.stats.total_active_file
2016-11-02 18:06:44.520272,0,0910.stats.rss_huge
2016-11-02 18:06:44.520272,296767488,0910.stats.cache
2016-11-02 18:06:44.520272,897024,0910.stats.active_anon
2016-11-02 18:06:44.520272,63,0910.stats.pgmajfault
2016-11-02 18:06:44.520272,495,0910.stats.total_pgpgout
2016-11-02 18:06:44.520272,495,0910.stats.pgpgout
2016-11-02 18:06:44.520272,0,0910.stats.swap
2016-11-02 18:06:44.520272,293490688,0910.stats.inactive_file
2016-11-02 18:06:44.520272,0,0910.stats.total_unevictable
2016-11-02 18:06:44.520272,10174,0910.stats.total_pgfault
2016-11-02 18:06:44.520272,63,0910.stats.total_pgmajfault
2016-11-02 18:06:44.520272,41512960,0910.stats.writeback
2016-11-02 18:06:44.520272,0,0910.stats.total_swap
2016-11-02 18:06:44.520272,897024,0910.stats.total_active_anon
2016-11-02 18:06:44.520272,73167,0910.stats.pgpgin
2016-11-02 18:06:44.520272,40960,0910.stats.total_dirty
2016-11-02 18:06:44.520272,73169,0910.stats.total_pgpgin
2016-11-02 18:06:44.520272,897024,0910.stats.rss
2016-11-02 18:06:44.520272,0,0910.stats.total_inactive_anon
2016-11-02 18:06:44.520272,0,0910.stats.inactive_anon
2016-11-02 18:06:44.520272,3260416,0910.stats.active_file
2016-11-02 18:06:44.520272,32768,0910.stats.dirty
2016-11-02 18:06:44.520272,897024,0910.stats.total_rss
2016-11-02 18:06:44.520272,0,0910.failcnt
2016-11-02 18:06:44.520272,3065118720,0910.limit
2016-11-02 18:06:44.520272,299487232,0910.max_usage
2016-11-02 18:06:45.520248,685727744,0910.usage
2016-11-02 18:06:45.520248,0,0910.stats.unevictable
2016-11-02 18:06:45.520248,678658048,0910.stats.total_inactive_file
2016-11-02 18:06:45.520248,0,0910.stats.total_rss_huge
2016-11-02 18:06:45.520248,6130237440,0910.stats.hierarchical_memsw_limit
2016-11-02 18:06:45.520248,681963520,0910.stats.total_cache
2016-11-02 18:06:45.520248,37421056,0910.stats.total_mapped_file
2016-11-02 18:06:45.520248,37421056,0910.stats.mapped_file
2016-11-02 18:06:45.520248,10275,0910.stats.pgfault
2016-11-02 18:06:45.520248,42860544,0910.stats.total_writeback
2016-11-02 18:06:45.520248,3065118720,0910.stats.hierarchical_memory_limit
2016-11-02 18:06:45.520248,3264512,0910.stats.total_active_file
2016-11-02 18:06:45.520248,0,0910.stats.rss_huge
