x,y,label
2016-10-27 13:09:11.520260,172015616,06ef.usage
2016-10-27 13:09:11.520260,0,06ef.stats.unevictable
2016-10-27 13:09:11.520260,166506496,06ef.stats.total_inactive_file
2016-10-27 13:09:11.520260,0,06ef.stats.total_rss_huge
2016-10-27 13:09:11.520260,3065118720,06ef.stats.hierarchical_memsw_limit
2016-10-27 13:09:11.520260,169811968,06ef.stats.total_cache
2016-10-27 13:09:11.520260,37416960,06ef.stats.total_mapped_file
2016-10-27 13:09:11.520260,37416960,06ef.stats.mapped_file
2016-10-27 13:09:11.520260,10182,06ef.stats.pgfault
2016-10-27 13:09:11.520260,38014976,06ef.stats.total_writeback
2016-10-27 13:09:11.520260,1532559360,06ef.stats.hierarchical_memory_limit
2016-10-27 13:09:11.520260,3305472,06ef.stats.total_active_file
2016-10-27 13:09:11.520260,0,06ef.stats.rss_huge
2016-10-27 13:09:11.520260,169803776,06ef.stats.cache
2016-10-27 13:09:11.520260,884736,06ef.stats.active_anon
2016-10-27 13:09:11.520260,63,06ef.stats.pgmajfault
2016-10-27 13:09:11.520260,494,06ef.stats.total_pgpgout
2016-10-27 13:09:11.520260,494,06ef.stats.pgpgout
2016-10-27 13:09:11.520260,0,06ef.stats.swap
2016-10-27 13:09:11.520260,166449152,06ef.stats.inactive_file
2016-10-27 13:09:11.520260,0,06ef.stats.total_unevictable
2016-10-27 13:09:11.520260,10182,06ef.stats.total_pgfault
2016-10-27 13:09:11.520260,63,06ef.stats.total_pgmajfault
2016-10-27 13:09:11.520260,38006784,06ef.stats.writeback
2016-10-27 13:09:11.520260,0,06ef.stats.total_swap
2016-10-27 13:09:11.520260,884736,06ef.stats.total_active_anon
2016-10-27 13:09:11.520260,42167,06ef.stats.pgpgin
2016-10-27 13:09:11.520260,36864,06ef.stats.total_dirty
2016-10-27 13:09:11.520260,42168,06ef.stats.total_pgpgin
2016-10-27 13:09:11.520260,884736,06ef.stats.rss
2016-10-27 13:09:11.520260,0,06ef.stats.total_inactive_anon
2016-10-27 13:09:11.520260,0,06ef.stats.inactive_anon
2016-10-27 13:09:11.520260,3305472,06ef.stats.active_file
2016-10-27 13:09:11.520260,40960,06ef.stats.dirty
2016-10-27 13:09:11.520260,884736,06ef.stats.total_rss
2016-10-27 13:09:11.520260,0,06ef.failcnt
2016-10-27 13:09:11.520260,1532559360,06ef.limit
2016-10-27 13:09:11.520260,172015616,06ef.max_usage
2016-10-27 13:09:12.520234,549023744,06ef.usage
2016-10-27 13:09:12.520234,0,06ef.stats.unevictable
2016-10-27 13:09:12.520234,542797824,06ef.stats.total_inactive_file
2016-10-27 13:09:12.520234,0,06ef.stats.total_rss_huge
2016-10-27 13:09:12.520234,3065118720,06ef.stats.hierarchical_memsw_limit
2016-10-27 13:09:12.520234,546103296,06ef.stats.total_cache
2016-10-27 13:09:12.520234,37416960,06ef.stats.total_mapped_file
2016-10-27 13:09:12.520234,37416960,06ef.stats.mapped_file
2016-10-27 13:09:12.520234,10286,06ef.stats.pgfault
2016-10-27 13:09:12.520234,40108032,06ef.stats.total_writeback
2016-10-27 13:09:12.520234,1532559360,06ef.stats.hierarchical_memory_limit
2016-10-27 13:09:12.520234,3305472,06ef.stats.total_active_file
2016-10-27 13:09:12.520234,0,06ef.stats.rss_huge
2016-10-27 13:09:12.520234,546103296,06ef.stats.cache
2016-10-27 13:09:12.520234,884736,06ef.stats.active_anon
2016-10-27 13:09:12.520234,63,06ef.stats.pgmajfault
2016-10-27 13:09:12.520234,532,06ef.stats.total_pgpgout
2016-10-27 13:09:12.520234,532,06ef.stats.pgpgout
2016-10-27 13:09:12.520234,0,06ef.stats.swap
2016-10-27 13:09:12.520234,542797824,06ef.stats.inactive_file
2016-10-27 13:09:12.520234,0,06ef.stats.total_unevictable
2016-10-27 13:09:12.520234,10286,06ef.stats.total_pgfault
2016-10-27 13:09:12.520234,63,06ef.stats.total_pgmajfault
2016-10-27 13:09:12.520234,40108032,06ef.stats.writeback
2016-10-27 13:09:12.520234,0,06ef.stats.total_swap
2016-10-27 13:09:12.520234,884736,06ef.stats.total_active_anon
2016-10-27 13:09:12.520234,134074,06ef.stats.pgpgin
2016-10-27 13:09:12.520234,20480,06ef.stats.total_dirty
2016-10-27 13:09:12.520234,134074,06ef.stats.total_pgpgin
2016-10-27 13:09:12.520234,884736,06ef.stats.rss
2016-10-27 13:09:12.520234,0,06ef.stats.total_inactive_anon
2016-10-27 13:09:12.520234,0,06ef.stats.inactive_anon
2016-10-27 13:09:12.520234,3305472,06ef.stats.active_file
2016-10-27 13:09:12.520234,20480,06ef.stats.dirty
2016-10-27 13:09:12.520234,884736,06ef.stats.total_rss
2016-10-27 13:09:12.520234,0,06ef.failcnt
2016-10-27 13:09:12.520234,1532559360,06ef.limit
2016-10-27 13:09:12.520234,549023744,06ef.max_usage
2016-10-27 13:09:13.520240,928960512,06ef.usage
2016-10-27 13:09:13.520240,0,06ef.stats.unevictable
2016-10-27 13:09:13.520240,921825280,06ef.stats.total_inactive_file
2016-10-27 13:09:13.520240,0,06ef.stats.total_rss_huge
2016-10-27 13:09:13.520240,3065118720,06ef.stats.hierarchical_memsw_limit
2016-10-27 13:09:13.520240,925163520,06ef.stats.total_cache
2016-10-27 13:09:13.520240,37416960,06ef.stats.total_mapped_file
2016-10-27 13:09:13.520240,37416960,06ef.stats.mapped_file
2016-10-27 13:09:13.520240,10386,06ef.stats.pgfault
2016-10-27 13:09:13.520240,40464384,06ef.stats.total_writeback
2016-10-27 13:09:13.520240,1532559360,06ef.stats.hierarchical_memory_limit
2016-10-27 13:09:13.520240,3338240,06ef.stats.total_active_file
2016-10-27 13:09:13.520240,0,06ef.stats.rss_huge
2016-10-27 13:09:13.520240,925163520,06ef.stats.cache
2016-10-27 13:09:13.520240,880640,06ef.stats.active_anon
2016-10-27 13:09:13.520240,63,06ef.stats.pgmajfault
2016-10-27 13:09:13.520240,570,06ef.stats.total_pgpgout
2016-10-27 13:09:13.520240,570,06ef.stats.pgpgout
2016-10-27 13:09:13.520240,0,06ef.stats.swap
2016-10-27 13:09:13.520240,921825280,06ef.stats.inactive_file
2016-10-27 13:09:13.520240,0,06ef.stats.total_unevictable
2016-10-27 13:09:13.520240,10386,06ef.stats.total_pgfault
2016-10-27 13:09:13.520240,63,06ef.stats.total_pgmajfault
2016-10-27 13:09:13.520240,40464384,06ef.stats.writeback
2016-10-27 13:09:13.520240,0,06ef.stats.total_swap
