x,y,label
2016-10-27 13:09:29.526493,333668352,3f71.usage
2016-10-27 13:09:29.526493,0,3f71.stats.unevictable
2016-10-27 13:09:29.526493,327905280,3f71.stats.total_inactive_file
2016-10-27 13:09:29.526493,0,3f71.stats.total_rss_huge
2016-10-27 13:09:29.526493,3065118720,3f71.stats.hierarchical_memsw_limit
2016-10-27 13:09:29.526493,331112448,3f71.stats.total_cache
2016-10-27 13:09:29.526493,37441536,3f71.stats.total_mapped_file
2016-10-27 13:09:29.526493,37441536,3f71.stats.mapped_file
2016-10-27 13:09:29.526493,10054,3f71.stats.pgfault
2016-10-27 13:09:29.526493,44003328,3f71.stats.total_writeback
2016-10-27 13:09:29.526493,1532559360,3f71.stats.hierarchical_memory_limit
2016-10-27 13:09:29.526493,3166208,3f71.stats.total_active_file
2016-10-27 13:09:29.526493,0,3f71.stats.rss_huge
2016-10-27 13:09:29.526493,331104256,3f71.stats.cache
2016-10-27 13:09:29.526493,901120,3f71.stats.active_anon
2016-10-27 13:09:29.526493,61,3f71.stats.pgmajfault
2016-10-27 13:09:29.526493,429,3f71.stats.total_pgpgout
2016-10-27 13:09:29.526493,429,3f71.stats.pgpgout
2016-10-27 13:09:29.526493,0,3f71.stats.swap
2016-10-27 13:09:29.526493,327905280,3f71.stats.inactive_file
2016-10-27 13:09:29.526493,0,3f71.stats.total_unevictable
2016-10-27 13:09:29.526493,10054,3f71.stats.total_pgfault
2016-10-27 13:09:29.526493,61,3f71.stats.total_pgmajfault
2016-10-27 13:09:29.526493,44003328,3f71.stats.writeback
2016-10-27 13:09:29.526493,0,3f71.stats.total_swap
2016-10-27 13:09:29.526493,901120,3f71.stats.total_active_anon
2016-10-27 13:09:29.526493,81486,3f71.stats.pgpgin
2016-10-27 13:09:29.526493,36864,3f71.stats.total_dirty
2016-10-27 13:09:29.526493,81487,3f71.stats.total_pgpgin
2016-10-27 13:09:29.526493,901120,3f71.stats.rss
2016-10-27 13:09:29.526493,0,3f71.stats.total_inactive_anon
2016-10-27 13:09:29.526493,0,3f71.stats.inactive_anon
2016-10-27 13:09:29.526493,3166208,3f71.stats.active_file
2016-10-27 13:09:29.526493,32768,3f71.stats.dirty
2016-10-27 13:09:29.526493,901120,3f71.stats.total_rss
2016-10-27 13:09:29.526493,0,3f71.failcnt
2016-10-27 13:09:29.526493,1532559360,3f71.limit
2016-10-27 13:09:29.526493,333668352,3f71.max_usage
2016-10-27 13:09:30.525161,718483456,3f71.usage
2016-10-27 13:09:30.525161,0,3f71.stats.unevictable
2016-10-27 13:09:30.525161,711798784,3f71.stats.total_inactive_file
2016-10-27 13:09:30.525161,0,3f71.stats.total_rss_huge
2016-10-27 13:09:30.525161,3065118720,3f71.stats.hierarchical_memsw_limit
