x,y,label
2016-10-27 13:15:40.520275,148115456,fe17.usage
2016-10-27 13:15:40.520275,0,fe17.stats.unevictable
2016-10-27 13:15:40.520275,142405632,fe17.stats.total_inactive_file
2016-10-27 13:15:40.520275,0,fe17.stats.total_rss_huge
2016-10-27 13:15:40.520275,6130237440,fe17.stats.hierarchical_memsw_limit
2016-10-27 13:15:40.520275,145727488,fe17.stats.total_cache
2016-10-27 13:15:40.520275,37433344,fe17.stats.total_mapped_file
2016-10-27 13:15:40.520275,37433344,fe17.stats.mapped_file
2016-10-27 13:15:40.520275,10161,fe17.stats.pgfault
2016-10-27 13:15:40.520275,40558592,fe17.stats.total_writeback
2016-10-27 13:15:40.520275,3065118720,fe17.stats.hierarchical_memory_limit
2016-10-27 13:15:40.520275,3272704,fe17.stats.total_active_file
2016-10-27 13:15:40.520275,0,fe17.stats.rss_huge
2016-10-27 13:15:40.520275,145727488,fe17.stats.cache
2016-10-27 13:15:40.520275,884736,fe17.stats.active_anon
2016-10-27 13:15:40.520275,63,fe17.stats.pgmajfault
2016-10-27 13:15:40.520275,462,fe17.stats.total_pgpgout
2016-10-27 13:15:40.520275,462,fe17.stats.pgpgout
2016-10-27 13:15:40.520275,0,fe17.stats.swap
2016-10-27 13:15:40.520275,142405632,fe17.stats.inactive_file
2016-10-27 13:15:40.520275,0,fe17.stats.total_unevictable
2016-10-27 13:15:40.520275,10161,fe17.stats.total_pgfault
2016-10-27 13:15:40.520275,63,fe17.stats.total_pgmajfault
2016-10-27 13:15:40.520275,40558592,fe17.stats.writeback
2016-10-27 13:15:40.520275,0,fe17.stats.total_swap
2016-10-27 13:15:40.520275,884736,fe17.stats.total_active_anon
2016-10-27 13:15:40.520275,36256,fe17.stats.pgpgin
2016-10-27 13:15:40.520275,32768,fe17.stats.total_dirty
2016-10-27 13:15:40.520275,36256,fe17.stats.total_pgpgin
2016-10-27 13:15:40.520275,884736,fe17.stats.rss
2016-10-27 13:15:40.520275,0,fe17.stats.total_inactive_anon
2016-10-27 13:15:40.520275,0,fe17.stats.inactive_anon
2016-10-27 13:15:40.520275,3272704,fe17.stats.active_file
2016-10-27 13:15:40.520275,32768,fe17.stats.dirty
2016-10-27 13:15:40.520275,884736,fe17.stats.total_rss
2016-10-27 13:15:40.520275,0,fe17.failcnt
2016-10-27 13:15:40.520275,3065118720,fe17.limit
2016-10-27 13:15:40.520275,148115456,fe17.max_usage
2016-10-27 13:15:41.520246,484405248,fe17.usage
2016-10-27 13:15:41.520246,0,fe17.stats.unevictable
2016-10-27 13:15:41.520246,478003200,fe17.stats.total_inactive_file
2016-10-27 13:15:41.520246,0,fe17.stats.total_rss_huge
