x,y,label
2016-10-28 16:49:39.520237,272850944,6f7c.usage
2016-10-28 16:49:39.520237,0,6f7c.stats.unevictable
2016-10-28 16:49:39.520237,267231232,6f7c.stats.total_inactive_file
2016-10-28 16:49:39.520237,0,6f7c.stats.total_rss_huge
2016-10-28 16:49:39.520237,3065118720,6f7c.stats.hierarchical_memsw_limit
2016-10-28 16:49:39.520237,270516224,6f7c.stats.total_cache
2016-10-28 16:49:39.520237,37425152,6f7c.stats.total_mapped_file
2016-10-28 16:49:39.520237,37425152,6f7c.stats.mapped_file
2016-10-28 16:49:39.520237,10211,6f7c.stats.pgfault
2016-10-28 16:49:39.520237,39833600,6f7c.stats.total_writeback
2016-10-28 16:49:39.520237,1532559360,6f7c.stats.hierarchical_memory_limit
2016-10-28 16:49:39.520237,3244032,6f7c.stats.total_active_file
2016-10-28 16:49:39.520237,0,6f7c.stats.rss_huge
2016-10-28 16:49:39.520237,270516224,6f7c.stats.cache
2016-10-28 16:49:39.520237,892928,6f7c.stats.active_anon
2016-10-28 16:49:39.520237,63,6f7c.stats.pgmajfault
2016-10-28 16:49:39.520237,496,6f7c.stats.total_pgpgout
2016-10-28 16:49:39.520237,496,6f7c.stats.pgpgout
2016-10-28 16:49:39.520237,0,6f7c.stats.swap
2016-10-28 16:49:39.520237,267231232,6f7c.stats.inactive_file
2016-10-28 16:49:39.520237,0,6f7c.stats.total_unevictable
2016-10-28 16:49:39.520237,10211,6f7c.stats.total_pgfault
2016-10-28 16:49:39.520237,63,6f7c.stats.total_pgmajfault
2016-10-28 16:49:39.520237,39833600,6f7c.stats.writeback
2016-10-28 16:49:39.520237,0,6f7c.stats.total_swap
2016-10-28 16:49:39.520237,892928,6f7c.stats.total_active_anon
2016-10-28 16:49:39.520237,66758,6f7c.stats.pgpgin
2016-10-28 16:49:39.520237,32768,6f7c.stats.total_dirty
2016-10-28 16:49:39.520237,66758,6f7c.stats.total_pgpgin
2016-10-28 16:49:39.520237,892928,6f7c.stats.rss
2016-10-28 16:49:39.520237,0,6f7c.stats.total_inactive_anon
2016-10-28 16:49:39.520237,0,6f7c.stats.inactive_anon
2016-10-28 16:49:39.520237,3244032,6f7c.stats.active_file
2016-10-28 16:49:39.520237,32768,6f7c.stats.dirty
2016-10-28 16:49:39.520237,892928,6f7c.stats.total_rss
2016-10-28 16:49:39.520237,0,6f7c.failcnt
2016-10-28 16:49:39.520237,1532559360,6f7c.limit
2016-10-28 16:49:39.520237,272850944,6f7c.max_usage
2016-10-28 16:49:40.520223,625266688,6f7c.usage
2016-10-28 16:49:40.520223,0,6f7c.stats.unevictable
2016-10-28 16:49:40.520223,618717184,6f7c.stats.total_inactive_file
2016-10-28 16:49:40.520223,0,6f7c.stats.total_rss_huge
2016-10-28 16:49:40.520223,3065118720,6f7c.stats.hierarchical_memsw_limit
2016-10-28 16:49:40.520223,622051328,6f7c.stats.total_cache
2016-10-28 16:49:40.520223,37433344,6f7c.stats.total_mapped_file
2016-10-28 16:49:40.520223,37433344,6f7c.stats.mapped_file
2016-10-28 16:49:40.520223,10312,6f7c.stats.pgfault
2016-10-28 16:49:40.520223,44957696,6f7c.stats.total_writeback
2016-10-28 16:49:40.520223,1532559360,6f7c.stats.hierarchical_memory_limit
2016-10-28 16:49:40.520223,3276800,6f7c.stats.total_active_file
2016-10-28 16:49:40.520223,0,6f7c.stats.rss_huge
2016-10-28 16:49:40.520223,622051328,6f7c.stats.cache
2016-10-28 16:49:40.520223,892928,6f7c.stats.active_anon
2016-10-28 16:49:40.520223,63,6f7c.stats.pgmajfault
2016-10-28 16:49:40.520223,533,6f7c.stats.total_pgpgout
2016-10-28 16:49:40.520223,533,6f7c.stats.pgpgout
2016-10-28 16:49:40.520223,0,6f7c.stats.swap
2016-10-28 16:49:40.520223,618717184,6f7c.stats.inactive_file
2016-10-28 16:49:40.520223,0,6f7c.stats.total_unevictable
2016-10-28 16:49:40.520223,10312,6f7c.stats.total_pgfault
2016-10-28 16:49:40.520223,63,6f7c.stats.total_pgmajfault
2016-10-28 16:49:40.520223,44957696,6f7c.stats.writeback
2016-10-28 16:49:40.520223,0,6f7c.stats.total_swap
2016-10-28 16:49:40.520223,892928,6f7c.stats.total_active_anon
2016-10-28 16:49:40.520223,152619,6f7c.stats.pgpgin
2016-10-28 16:49:40.520223,24576,6f7c.stats.total_dirty
2016-10-28 16:49:40.520223,152619,6f7c.stats.total_pgpgin
2016-10-28 16:49:40.520223,892928,6f7c.stats.rss
2016-10-28 16:49:40.520223,0,6f7c.stats.total_inactive_anon
2016-10-28 16:49:40.520223,0,6f7c.stats.inactive_anon
2016-10-28 16:49:40.520223,3276800,6f7c.stats.active_file
2016-10-28 16:49:40.520223,24576,6f7c.stats.dirty
2016-10-28 16:49:40.520223,892928,6f7c.stats.total_rss
2016-10-28 16:49:40.520223,0,6f7c.failcnt
2016-10-28 16:49:40.520223,1532559360,6f7c.limit
2016-10-28 16:49:40.520223,625266688,6f7c.max_usage
2016-10-28 16:49:41.520259,975978496,6f7c.usage
2016-10-28 16:49:41.520259,0,6f7c.stats.unevictable
2016-10-28 16:49:41.520259,968687616,6f7c.stats.total_inactive_file
2016-10-28 16:49:41.520259,0,6f7c.stats.total_rss_huge
2016-10-28 16:49:41.520259,3065118720,6f7c.stats.hierarchical_memsw_limit
2016-10-28 16:49:41.520259,972013568,6f7c.stats.total_cache
2016-10-28 16:49:41.520259,37433344,6f7c.stats.total_mapped_file
2016-10-28 16:49:41.520259,37433344,6f7c.stats.mapped_file
2016-10-28 16:49:41.520259,10412,6f7c.stats.pgfault
2016-10-28 16:49:41.520259,39038976,6f7c.stats.total_writeback
2016-10-28 16:49:41.520259,1532559360,6f7c.stats.hierarchical_memory_limit
2016-10-28 16:49:41.520259,3325952,6f7c.stats.total_active_file
2016-10-28 16:49:41.520259,0,6f7c.stats.rss_huge
2016-10-28 16:49:41.520259,972013568,6f7c.stats.cache
2016-10-28 16:49:41.520259,897024,6f7c.stats.active_anon
2016-10-28 16:49:41.520259,63,6f7c.stats.pgmajfault
2016-10-28 16:49:41.520259,570,6f7c.stats.total_pgpgout
2016-10-28 16:49:41.520259,570,6f7c.stats.pgpgout
2016-10-28 16:49:41.520259,0,6f7c.stats.swap
2016-10-28 16:49:41.520259,968687616,6f7c.stats.inactive_file
2016-10-28 16:49:41.520259,0,6f7c.stats.total_unevictable
2016-10-28 16:49:41.520259,10412,6f7c.stats.total_pgfault
2016-10-28 16:49:41.520259,63,6f7c.stats.total_pgmajfault
2016-10-28 16:49:41.520259,39038976,6f7c.stats.writeback
2016-10-28 16:49:41.520259,0,6f7c.stats.total_swap
2016-10-28 16:49:41.520259,897024,6f7c.stats.total_active_anon
2016-10-28 16:49:41.520259,238097,6f7c.stats.pgpgin
2016-10-28 16:49:41.520259,24576,6f7c.stats.total_dirty
2016-10-28 16:49:41.520259,238097,6f7c.stats.total_pgpgin
2016-10-28 16:49:41.520259,897024,6f7c.stats.rss
2016-10-28 16:49:41.520259,0,6f7c.stats.total_inactive_anon
2016-10-28 16:49:41.520259,0,6f7c.stats.inactive_anon
2016-10-28 16:49:41.520259,3325952,6f7c.stats.active_file
2016-10-28 16:49:41.520259,24576,6f7c.stats.dirty
2016-10-28 16:49:41.520259,897024,6f7c.stats.total_rss
2016-10-28 16:49:41.520259,0,6f7c.failcnt
2016-10-28 16:49:41.520259,1532559360,6f7c.limit
2016-10-28 16:49:41.520259,975978496,6f7c.max_usage
2016-10-28 16:49:42.520217,1321607168,6f7c.usage
2016-10-28 16:49:42.520217,0,6f7c.stats.unevictable
2016-10-28 16:49:42.520217,1313439744,6f7c.stats.total_inactive_file
2016-10-28 16:49:42.520217,0,6f7c.stats.total_rss_huge
2016-10-28 16:49:42.520217,3065118720,6f7c.stats.hierarchical_memsw_limit
2016-10-28 16:49:42.520217,1316777984,6f7c.stats.total_cache
2016-10-28 16:49:42.520217,37425152,6f7c.stats.total_mapped_file
2016-10-28 16:49:42.520217,37425152,6f7c.stats.mapped_file
2016-10-28 16:49:42.520217,10512,6f7c.stats.pgfault
2016-10-28 16:49:42.520217,42115072,6f7c.stats.total_writeback
2016-10-28 16:49:42.520217,1532559360,6f7c.stats.hierarchical_memory_limit
2016-10-28 16:49:42.520217,3334144,6f7c.stats.total_active_file
2016-10-28 16:49:42.520217,0,6f7c.stats.rss_huge
2016-10-28 16:49:42.520217,1316769792,6f7c.stats.cache
2016-10-28 16:49:42.520217,892928,6f7c.stats.active_anon
2016-10-28 16:49:42.520217,63,6f7c.stats.pgmajfault
2016-10-28 16:49:42.520217,608,6f7c.stats.total_pgpgout
2016-10-28 16:49:42.520217,608,6f7c.stats.pgpgout
2016-10-28 16:49:42.520217,0,6f7c.stats.swap
2016-10-28 16:49:42.520217,1313423360,6f7c.stats.inactive_file
2016-10-28 16:49:42.520217,0,6f7c.stats.total_unevictable
2016-10-28 16:49:42.520217,10512,6f7c.stats.total_pgfault
2016-10-28 16:49:42.520217,63,6f7c.stats.total_pgmajfault
2016-10-28 16:49:42.520217,42110976,6f7c.stats.writeback
2016-10-28 16:49:42.520217,0,6f7c.stats.total_swap
2016-10-28 16:49:42.520217,892928,6f7c.stats.total_active_anon
2016-10-28 16:49:42.520217,322304,6f7c.stats.pgpgin
2016-10-28 16:49:42.520217,32768,6f7c.stats.total_dirty
2016-10-28 16:49:42.520217,322306,6f7c.stats.total_pgpgin
2016-10-28 16:49:42.520217,892928,6f7c.stats.rss
2016-10-28 16:49:42.520217,0,6f7c.stats.total_inactive_anon
2016-10-28 16:49:42.520217,0,6f7c.stats.inactive_anon
2016-10-28 16:49:42.520217,3334144,6f7c.stats.active_file
2016-10-28 16:49:42.520217,28672,6f7c.stats.dirty
2016-10-28 16:49:42.520217,892928,6f7c.stats.total_rss
2016-10-28 16:49:42.520217,0,6f7c.failcnt
2016-10-28 16:49:42.520217,1532559360,6f7c.limit
2016-10-28 16:49:42.520217,1321607168,6f7c.max_usage
2016-10-28 16:49:43.520254,1532432384,6f7c.usage
2016-10-28 16:49:43.520254,0,6f7c.stats.unevictable
2016-10-28 16:49:43.520254,1522466816,6f7c.stats.total_inactive_file
2016-10-28 16:49:43.520254,0,6f7c.stats.total_rss_huge
2016-10-28 16:49:43.520254,3065118720,6f7c.stats.hierarchical_memsw_limit
2016-10-28 16:49:43.520254,1527021568,6f7c.stats.total_cache
2016-10-28 16:49:43.520254,37425152,6f7c.stats.total_mapped_file
2016-10-28 16:49:43.520254,37425152,6f7c.stats.mapped_file
2016-10-28 16:49:43.520254,10613,6f7c.stats.pgfault
2016-10-28 16:49:43.520254,42610688,6f7c.stats.total_writeback
2016-10-28 16:49:43.520254,1532559360,6f7c.stats.hierarchical_memory_limit
2016-10-28 16:49:43.520254,4513792,6f7c.stats.total_active_file
2016-10-28 16:49:43.520254,0,6f7c.stats.rss_huge
2016-10-28 16:49:43.520254,1527021568,6f7c.stats.cache
2016-10-28 16:49:43.520254,892928,6f7c.stats.active_anon
2016-10-28 16:49:43.520254,63,6f7c.stats.pgmajfault
2016-10-28 16:49:43.520254,34745,6f7c.stats.total_pgpgout
2016-10-28 16:49:43.520254,34745,6f7c.stats.pgpgout
2016-10-28 16:49:43.520254,0,6f7c.stats.swap
2016-10-28 16:49:43.520254,1522466816,6f7c.stats.inactive_file
2016-10-28 16:49:43.520254,0,6f7c.stats.total_unevictable
2016-10-28 16:49:43.520254,10613,6f7c.stats.total_pgfault
2016-10-28 16:49:43.520254,63,6f7c.stats.total_pgmajfault
2016-10-28 16:49:43.520254,42610688,6f7c.stats.writeback
2016-10-28 16:49:43.520254,0,6f7c.stats.total_swap
2016-10-28 16:49:43.520254,892928,6f7c.stats.total_active_anon
2016-10-28 16:49:43.520254,407771,6f7c.stats.pgpgin
2016-10-28 16:49:43.520254,24576,6f7c.stats.total_dirty
2016-10-28 16:49:43.520254,407771,6f7c.stats.total_pgpgin
2016-10-28 16:49:43.520254,892928,6f7c.stats.rss
2016-10-28 16:49:43.520254,0,6f7c.stats.total_inactive_anon
2016-10-28 16:49:43.520254,0,6f7c.stats.inactive_anon
2016-10-28 16:49:43.520254,4513792,6f7c.stats.active_file
2016-10-28 16:49:43.520254,24576,6f7c.stats.dirty
2016-10-28 16:49:43.520254,892928,6f7c.stats.total_rss
2016-10-28 16:49:43.520254,18265,6f7c.failcnt
2016-10-28 16:49:43.520254,1532559360,6f7c.limit
2016-10-28 16:49:43.520254,1532559360,6f7c.max_usage
2016-10-28 16:49:44.520287,1532432384,6f7c.usage
2016-10-28 16:49:44.520287,0,6f7c.stats.unevictable
2016-10-28 16:49:44.520287,1522470912,6f7c.stats.total_inactive_file
2016-10-28 16:49:44.520287,0,6f7c.stats.total_rss_huge
