x,y,label
2016-10-28 16:49:57.525319,142573568,7887.usage
2016-10-28 16:49:57.525319,0,7887.stats.unevictable
2016-10-28 16:49:57.525319,135933952,7887.stats.total_inactive_file
2016-10-28 16:49:57.525319,0,7887.stats.total_rss_huge
2016-10-28 16:49:57.525319,285212672,7887.stats.hierarchical_memsw_limit
2016-10-28 16:49:57.525319,140402688,7887.stats.total_cache
2016-10-28 16:49:57.525319,37433344,7887.stats.total_mapped_file
2016-10-28 16:49:57.525319,37433344,7887.stats.mapped_file
2016-10-28 16:49:57.525319,10077,7887.stats.pgfault
2016-10-28 16:49:57.525319,43429888,7887.stats.total_writeback
2016-10-28 16:49:57.525319,142606336,7887.stats.hierarchical_memory_limit
2016-10-28 16:49:57.525319,4448256,7887.stats.total_active_file
2016-10-28 16:49:57.525319,0,7887.stats.rss_huge
2016-10-28 16:49:57.525319,140402688,7887.stats.cache
2016-10-28 16:49:57.525319,909312,7887.stats.active_anon
2016-10-28 16:49:57.525319,61,7887.stats.pgmajfault
2016-10-28 16:49:57.525319,13360,7887.stats.total_pgpgout
2016-10-28 16:49:57.525319,13360,7887.stats.pgpgout
2016-10-28 16:49:57.525319,0,7887.stats.swap
2016-10-28 16:49:57.525319,135933952,7887.stats.inactive_file
2016-10-28 16:49:57.525319,0,7887.stats.total_unevictable
2016-10-28 16:49:57.525319,10077,7887.stats.total_pgfault
2016-10-28 16:49:57.525319,61,7887.stats.total_pgmajfault
2016-10-28 16:49:57.525319,43429888,7887.stats.writeback
2016-10-28 16:49:57.525319,0,7887.stats.total_swap
2016-10-28 16:49:57.525319,909312,7887.stats.total_active_anon
2016-10-28 16:49:57.525319,47860,7887.stats.pgpgin
2016-10-28 16:49:57.525319,0,7887.stats.total_dirty
2016-10-28 16:49:57.525319,47860,7887.stats.total_pgpgin
2016-10-28 16:49:57.525319,909312,7887.stats.rss
2016-10-28 16:49:57.525319,0,7887.stats.total_inactive_anon
2016-10-28 16:49:57.525319,0,7887.stats.inactive_anon
2016-10-28 16:49:57.525319,4448256,7887.stats.active_file
2016-10-28 16:49:57.525319,0,7887.stats.dirty
2016-10-28 16:49:57.525319,909312,7887.stats.total_rss
2016-10-28 16:49:57.525319,5435,7887.failcnt
2016-10-28 16:49:57.525319,142606336,7887.limit
2016-10-28 16:49:57.525319,142606336,7887.max_usage
2016-10-28 16:49:58.525394,142573568,7887.usage
2016-10-28 16:49:58.525394,0,7887.stats.unevictable
2016-10-28 16:49:58.525394,135131136,7887.stats.total_inactive_file
2016-10-28 16:49:58.525394,0,7887.stats.total_rss_huge
2016-10-28 16:49:58.525394,285212672,7887.stats.hierarchical_memsw_limit
2016-10-28 16:49:58.525394,139603968,7887.stats.total_cache
2016-10-28 16:49:58.525394,3547136,7887.stats.total_mapped_file
2016-10-28 16:49:58.525394,3547136,7887.stats.mapped_file
2016-10-28 16:49:58.525394,10134,7887.stats.pgfault
2016-10-28 16:49:58.525394,45592576,7887.stats.total_writeback
2016-10-28 16:49:58.525394,142606336,7887.stats.hierarchical_memory_limit
2016-10-28 16:49:58.525394,4452352,7887.stats.total_active_file
2016-10-28 16:49:58.525394,0,7887.stats.rss_huge
2016-10-28 16:49:58.525394,139603968,7887.stats.cache
2016-10-28 16:49:58.525394,827392,7887.stats.active_anon
2016-10-28 16:49:58.525394,62,7887.stats.pgmajfault
2016-10-28 16:49:58.525394,107389,7887.stats.total_pgpgout
2016-10-28 16:49:58.525394,107389,7887.stats.pgpgout
2016-10-28 16:49:58.525394,0,7887.stats.swap
2016-10-28 16:49:58.525394,135131136,7887.stats.inactive_file
2016-10-28 16:49:58.525394,0,7887.stats.total_unevictable
2016-10-28 16:49:58.525394,10134,7887.stats.total_pgfault
2016-10-28 16:49:58.525394,62,7887.stats.total_pgmajfault
2016-10-28 16:49:58.525394,45592576,7887.stats.writeback
2016-10-28 16:49:58.525394,0,7887.stats.total_swap
2016-10-28 16:49:58.525394,827392,7887.stats.total_active_anon
2016-10-28 16:49:58.525394,141674,7887.stats.pgpgin
2016-10-28 16:49:58.525394,0,7887.stats.total_dirty
2016-10-28 16:49:58.525394,141674,7887.stats.total_pgpgin
2016-10-28 16:49:58.525394,827392,7887.stats.rss
2016-10-28 16:49:58.525394,0,7887.stats.total_inactive_anon
2016-10-28 16:49:58.525394,0,7887.stats.inactive_anon
2016-10-28 16:49:58.525394,4452352,7887.stats.active_file
2016-10-28 16:49:58.525394,0,7887.stats.dirty
2016-10-28 16:49:58.525394,827392,7887.stats.total_rss
2016-10-28 16:49:58.525394,45084,7887.failcnt
2016-10-28 16:49:58.525394,142606336,7887.limit
2016-10-28 16:49:58.525394,142606336,7887.max_usage
2016-10-28 16:49:59.527093,142598144,7887.usage
2016-10-28 16:49:59.527093,0,7887.stats.unevictable
2016-10-28 16:49:59.527093,134471680,7887.stats.total_inactive_file
2016-10-28 16:49:59.527093,0,7887.stats.total_rss_huge
2016-10-28 16:49:59.527093,285212672,7887.stats.hierarchical_memsw_limit
2016-10-28 16:49:59.527093,138960896,7887.stats.total_cache
2016-10-28 16:49:59.527093,3547136,7887.stats.total_mapped_file
2016-10-28 16:49:59.527093,3547136,7887.stats.mapped_file
2016-10-28 16:49:59.527093,10134,7887.stats.pgfault
2016-10-28 16:49:59.527093,44384256,7887.stats.total_writeback
2016-10-28 16:49:59.527093,142606336,7887.stats.hierarchical_memory_limit
2016-10-28 16:49:59.527093,4452352,7887.stats.total_active_file
2016-10-28 16:49:59.527093,0,7887.stats.rss_huge
2016-10-28 16:49:59.527093,138960896,7887.stats.cache
2016-10-28 16:49:59.527093,827392,7887.stats.active_anon
2016-10-28 16:49:59.527093,62,7887.stats.pgmajfault
2016-10-28 16:49:59.527093,200858,7887.stats.total_pgpgout
2016-10-28 16:49:59.527093,200858,7887.stats.pgpgout
2016-10-28 16:49:59.527093,0,7887.stats.swap
2016-10-28 16:49:59.527093,134471680,7887.stats.inactive_file
2016-10-28 16:49:59.527093,0,7887.stats.total_unevictable
2016-10-28 16:49:59.527093,10134,7887.stats.total_pgfault
2016-10-28 16:49:59.527093,62,7887.stats.total_pgmajfault
2016-10-28 16:49:59.527093,44384256,7887.stats.writeback
2016-10-28 16:49:59.527093,0,7887.stats.total_swap
2016-10-28 16:49:59.527093,827392,7887.stats.total_active_anon
2016-10-28 16:49:59.527093,234986,7887.stats.pgpgin
2016-10-28 16:49:59.527093,0,7887.stats.total_dirty
2016-10-28 16:49:59.527093,234986,7887.stats.total_pgpgin
2016-10-28 16:49:59.527093,827392,7887.stats.rss
2016-10-28 16:49:59.527093,0,7887.stats.total_inactive_anon
2016-10-28 16:49:59.527093,0,7887.stats.inactive_anon
2016-10-28 16:49:59.527093,4452352,7887.stats.active_file
2016-10-28 16:49:59.527093,0,7887.stats.dirty
2016-10-28 16:49:59.527093,827392,7887.stats.total_rss
2016-10-28 16:49:59.527093,84051,7887.failcnt
2016-10-28 16:49:59.527093,142606336,7887.limit
2016-10-28 16:49:59.527093,142606336,7887.max_usage
2016-10-28 16:50:00.525796,142524416,7887.usage
2016-10-28 16:50:00.525796,0,7887.stats.unevictable
2016-10-28 16:50:00.525796,134414336,7887.stats.total_inactive_file
2016-10-28 16:50:00.525796,0,7887.stats.total_rss_huge
2016-10-28 16:50:00.525796,285212672,7887.stats.hierarchical_memsw_limit
2016-10-28 16:50:00.525796,138878976,7887.stats.total_cache
2016-10-28 16:50:00.525796,3547136,7887.stats.total_mapped_file
2016-10-28 16:50:00.525796,3547136,7887.stats.mapped_file
2016-10-28 16:50:00.525796,10134,7887.stats.pgfault
2016-10-28 16:50:00.525796,44744704,7887.stats.total_writeback
2016-10-28 16:50:00.525796,142606336,7887.stats.hierarchical_memory_limit
2016-10-28 16:50:00.525796,4452352,7887.stats.total_active_file
2016-10-28 16:50:00.525796,0,7887.stats.rss_huge
2016-10-28 16:50:00.525796,138878976,7887.stats.cache
2016-10-28 16:50:00.525796,827392,7887.stats.active_anon
2016-10-28 16:50:00.525796,62,7887.stats.pgmajfault
2016-10-28 16:50:00.525796,294830,7887.stats.total_pgpgout
2016-10-28 16:50:00.525796,294830,7887.stats.pgpgout
2016-10-28 16:50:00.525796,0,7887.stats.swap
2016-10-28 16:50:00.525796,134414336,7887.stats.inactive_file
2016-10-28 16:50:00.525796,0,7887.stats.total_unevictable
2016-10-28 16:50:00.525796,10134,7887.stats.total_pgfault
2016-10-28 16:50:00.525796,62,7887.stats.total_pgmajfault
2016-10-28 16:50:00.525796,44744704,7887.stats.writeback
2016-10-28 16:50:00.525796,0,7887.stats.total_swap
2016-10-28 16:50:00.525796,827392,7887.stats.total_active_anon
2016-10-28 16:50:00.525796,328938,7887.stats.pgpgin
2016-10-28 16:50:00.525796,0,7887.stats.total_dirty
2016-10-28 16:50:00.525796,328938,7887.stats.total_pgpgin
2016-10-28 16:50:00.525796,827392,7887.stats.rss
2016-10-28 16:50:00.525796,0,7887.stats.total_inactive_anon
2016-10-28 16:50:00.525796,0,7887.stats.inactive_anon
2016-10-28 16:50:00.525796,4452352,7887.stats.active_file
2016-10-28 16:50:00.525796,0,7887.stats.dirty
2016-10-28 16:50:00.525796,827392,7887.stats.total_rss
2016-10-28 16:50:00.525796,123103,7887.failcnt
2016-10-28 16:50:00.525796,142606336,7887.limit
2016-10-28 16:50:00.525796,142606336,7887.max_usage
2016-10-28 16:50:01.525323,142585856,7887.usage
2016-10-28 16:50:01.525323,0,7887.stats.unevictable
2016-10-28 16:50:01.525323,134471680,7887.stats.total_inactive_file
2016-10-28 16:50:01.525323,0,7887.stats.total_rss_huge
2016-10-28 16:50:01.525323,285212672,7887.stats.hierarchical_memsw_limit
2016-10-28 16:50:01.525323,138948608,7887.stats.total_cache
2016-10-28 16:50:01.525323,3547136,7887.stats.total_mapped_file
2016-10-28 16:50:01.525323,3547136,7887.stats.mapped_file
2016-10-28 16:50:01.525323,10134,7887.stats.pgfault
