x,y,label
2016-10-28 17:01:15.520289,360460288,57a9.usage
2016-10-28 17:01:15.520289,0,57a9.stats.unevictable
2016-10-28 17:01:15.520289,354164736,57a9.stats.total_inactive_file
2016-10-28 17:01:15.520289,0,57a9.stats.total_rss_huge
2016-10-28 17:01:15.520289,3350331392,57a9.stats.hierarchical_memsw_limit
2016-10-28 17:01:15.520289,357388288,57a9.stats.total_cache
2016-10-28 17:01:15.520289,37380096,57a9.stats.total_mapped_file
2016-10-28 17:01:15.520289,37380096,57a9.stats.mapped_file
2016-10-28 17:01:15.520289,10171,57a9.stats.pgfault
2016-10-28 17:01:15.520289,39219200,57a9.stats.total_writeback
2016-10-28 17:01:15.520289,1675165696,57a9.stats.hierarchical_memory_limit
2016-10-28 17:01:15.520289,3223552,57a9.stats.total_active_file
2016-10-28 17:01:15.520289,0,57a9.stats.rss_huge
2016-10-28 17:01:15.520289,357388288,57a9.stats.cache
2016-10-28 17:01:15.520289,880640,57a9.stats.active_anon
2016-10-28 17:01:15.520289,63,57a9.stats.pgmajfault
2016-10-28 17:01:15.520289,496,57a9.stats.total_pgpgout
2016-10-28 17:01:15.520289,496,57a9.stats.pgpgout
2016-10-28 17:01:15.520289,0,57a9.stats.swap
2016-10-28 17:01:15.520289,354164736,57a9.stats.inactive_file
2016-10-28 17:01:15.520289,0,57a9.stats.total_unevictable
2016-10-28 17:01:15.520289,10171,57a9.stats.total_pgfault
2016-10-28 17:01:15.520289,63,57a9.stats.total_pgmajfault
2016-10-28 17:01:15.520289,39219200,57a9.stats.writeback
2016-10-28 17:01:15.520289,0,57a9.stats.total_swap
2016-10-28 17:01:15.520289,880640,57a9.stats.total_active_anon
2016-10-28 17:01:15.520289,87964,57a9.stats.pgpgin
2016-10-28 17:01:15.520289,32768,57a9.stats.total_dirty
2016-10-28 17:01:15.520289,87964,57a9.stats.total_pgpgin
2016-10-28 17:01:15.520289,880640,57a9.stats.rss
2016-10-28 17:01:15.520289,0,57a9.stats.total_inactive_anon
2016-10-28 17:01:15.520289,0,57a9.stats.inactive_anon
